Plot;Year;Treatment;Bloc;SP1;SP3;SP4;SP5;SP6;SP7;SP8;SP9;SP11;SP12;SP13;SP14;SP15;SP16;SP18;SP19;SP20;SP21;SP22;SP23;SP24;SP25;SP26;SP28;SP30;SP31;SP33;SP34;SP35;SP36;SP37;SP38;SP39;SP40;SP41;SP42;SP43;SP44;SP45;SP46;SP47;SP48;SP49;SP50;SP51;SP52;SP53;SP55;SP56;SP57;SP58;SP60;SP62;SP63;SP64;SP65;SP67;SP68;SP69;SP70;SP71;SP72;SP73;SP74;SP75;SP76;SP77;SP78;SP79;SP80;SP81;SP82;SP83;SP84;SP85;SP86;SP87;SP88;SP90;SP91;SP92;SP93;SP94;SP95;SP96;SP97;SP98;SP99;SP101;SP102;SP103;SP104;SP105;SP106;SP107;SP108;SP109;SP110
13;2016;Mown_NPK;1;2.112676056;1.408450704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.225352113;0;0;0;0;0;0;0;0;1.408450704;26.76056338;0;0;0;11.26760563;0;0;0;0;0;0;0;0;0;0;0.704225352;0.704225352;0;0.704225352;0;0;0;0;0;7.746478873;0;0;0;0;0;1.408450704;0;0;21.12676056;0;0;0;0;0;0;0;0;0;0;1.408450704;0;0;0;1.408450704;16.1971831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2016;Mown_NPK;2;0;2.614379085;0;0;21.56862745;0;0;0;0;0;0;0;0;0;0;0;0;2.614379085;1.960784314;0;0;1.307189542;0;0;0;0;0;0;5.22875817;0;0;0;1.307189542;0;0;0;0;0;0;0;0;0;0;6.535947712;0;0;0.653594771;0;0;0;0;0;0;1.307189542;0;0;0;0;0;0;0;18.95424837;0;0;0;0;0;0;0;0;0;0;0.653594771;0;0;0;5.22875817;11.76470588;0;0;0;0;16.99346405;0.653594771;0;0;0;0;0;0;0;0.653594771;0;0;0;0;0;0
27;2016;Mown_NPK;2;11.62790698;0;0;0;18.60465116;0;0;1.744186047;0;0;0;0.581395349;0;0;0;0;0;5.23255814;1.162790698;0;0;0;0;0;0;0;0;3.488372093;0;0;0;0;3.488372093;0;0;0;0;0;0;0;0;0;0;5.23255814;0;0;1.162790698;0;0;0;0;0;0;3.488372093;0;0;0;0;0;0;0.581395349;15.69767442;0.581395349;0;0;0;0;0;0;0;1.162790698;1.162790698;0.581395349;0;0;0;7.558139535;7.558139535;0;0;0;1.162790698;7.558139535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2017;Mown_NPK;1;0;0;0;0;0;0;0;0.632911392;0;0;0;0;0;0;0;0;0;0;8.860759494;0;0;0;0;0;0;0;0;1.265822785;24.6835443;0;0;0;7.594936709;0;0;0;0;0;0;0;0;0;0;2.53164557;1.265822785;0;0;0;1.265822785;0;0;0;12.65822785;0;0;0;0;0;0;0;1.265822785;15.18987342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.29113924;9.493670886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2017;Mown_NPK;1;0.714285714;1.428571429;0;0;0;0;0;0;0;0;0.714285714;0;0;0;0;0;0;0;7.857142857;0;0;0;0;0;0;0;0;1.428571429;25.71428571;0;0;0;9.285714286;0;0;0;0;0;0;0;0;0;0;0.714285714;2.142857143;0;0;0;0;0;0;0;7.142857143;0;0;0;0;0;1.428571429;0;0;20;0;0;0;0;0;0;0;0;0;0;0.714285714;0;0;0;10.71428571;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2017;Mown_NPK;2;0;3.448275862;0;0;24.13793103;0.689655172;0;0;0;0;0;0;0;0;0;0;0;0;1.379310345;0;0;0.689655172;0;0;0;0;0;0;4.137931034;0;0;0;4.137931034;0;0;0;0;0;0;0;0;0;0;2.75862069;0;0;1.379310345;0;0;0;0;0;0.689655172;1.379310345;0;0;0;0;0;0;2.068965517;19.31034483;0;0;0;0;0;0;0;0;0;0;0.689655172;0;0;0;8.965517241;7.586206897;0;0;0;0;16.55172414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2017;Mown_NPK;2;10.52631579;1.169590643;0;0;18.12865497;0;0;0;0;0;0;1.169590643;0;0;0;0;0;2.339181287;2.339181287;0;0;0;0;0;0;0;0;2.339181287;0;0;0;0;2.923976608;0;0;0;0;0;0;0;0;0;0;4.678362573;0;0;0;0;0.584795322;0;0;0;0;2.923976608;0;0;0;0;0;0;0;16.95906433;0;0;0;0;0;0;0;0;1.169590643;0.584795322;0.584795322;0;0;0;12.28070175;7.01754386;0;0;0;1.169590643;10.52631579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2018;Mown_NPK;1;0;0;0;0;0.617283951;0;0;0.617283951;0;0;0;0;0;0;0;0;0;0;6.790123457;0;0;0;0;0;0;0;0;1.234567901;24.07407407;0;0;0;8.641975309;0;0;0;0;0;0;0;0;0;0;1.851851852;0;0;1.234567901;0;1.234567901;0;0;0;13.58024691;0;0;0;0;0;0;0;0;14.81481481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.58024691;11.72839506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2018;Mown_NPK;1;1.459854015;2.189781022;0;0;0.729927007;0;0;0;0;0;0;0;0;0;0;0;0;0.729927007;3.649635036;0;0;0;0;0;0;0;0;2.189781022;28.46715328;0;0;0;12.40875912;0;0;0;0;0;0;0;0;0;0;2.189781022;0.729927007;0;0;0;2.919708029;0;0;0;4.379562044;4.379562044;0;0;0;0;0.729927007;0;0;12.40875912;0;0;0;0;0;0;0;0;0;0;0;0;0;2.189781022;8.02919708;8.759124088;0;0;0;0.729927007;0.729927007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2018;Mown_NPK;2;0.704225352;0;0;0;23.23943662;0;0;0.704225352;0;0;0;0;0;0;0;0;0;1.408450704;1.408450704;0;0;2.112676056;0;0;0;0;0;0;8.450704225;0;0;0;2.112676056;0;0;0;0;0;0;0;0;0;0;5.633802817;0;0;0.704225352;0;1.408450704;0;0.704225352;0;0;0;0;0;0;0;0;0;0;17.6056338;0;0;0;0;0;0;0;0;0;0;0.704225352;0;0;0;5.633802817;9.85915493;0;0;0;0;16.90140845;0.704225352;0;0;0;0;0;0;0;0;0;0;0;0;0;0
